127.0.0.1 - - [05/Mar/2018:13:19:46 +0100] "GET / HTTP/1.1" 404 955
127.0.0.1 - - [05/Mar/2018:13:20:04 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 2631
127.0.0.1 - - [05/Mar/2018:13:20:04 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 200 553
127.0.0.1 - - [05/Mar/2018:13:20:04 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 200 1868
127.0.0.1 - - [05/Mar/2018:13:20:04 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 200 4369
127.0.0.1 - - [05/Mar/2018:13:20:04 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 200 10578
127.0.0.1 - - [05/Mar/2018:13:20:04 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 200 3136
127.0.0.1 - - [05/Mar/2018:13:20:04 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 200 275527
127.0.0.1 - - [05/Mar/2018:13:20:04 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 200 465012
127.0.0.1 - - [05/Mar/2018:13:20:06 +0100] "GET /Acme-Rendezvous/security/login.do HTTP/1.1" 200 3070
127.0.0.1 - - [05/Mar/2018:13:20:06 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:06 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:06 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:06 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:06 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:06 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:06 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:10 +0100] "POST /Acme-Rendezvous/j_spring_security_check HTTP/1.1" 302 -
127.0.0.1 - - [05/Mar/2018:13:20:10 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 3033
127.0.0.1 - - [05/Mar/2018:13:20:10 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:10 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:10 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:10 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:10 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:10 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:10 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:12 +0100] "GET /Acme-Rendezvous/service/list.do HTTP/1.1" 200 4194
127.0.0.1 - - [05/Mar/2018:13:20:12 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:12 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:12 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:12 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:12 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:12 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:12 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:12 +0100] "GET /Acme-Rendezvous/images/deleted.png HTTP/1.1" 200 777
127.0.0.1 - - [05/Mar/2018:13:20:12 +0100] "GET /Acme-Rendezvous/images/arrow_off.png HTTP/1.1" 200 220
127.0.0.1 - - [05/Mar/2018:13:20:16 +0100] "GET /Acme-Rendezvous/images/arrow_down.png HTTP/1.1" 200 223
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/j_spring_security_logout HTTP/1.1" 302 -
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 2631
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/security/login.do HTTP/1.1" 200 3070
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:19 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:19 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:18 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:25 +0100] "POST /Acme-Rendezvous/j_spring_security_check HTTP/1.1" 302 -
127.0.0.1 - - [05/Mar/2018:13:20:25 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 2623
127.0.0.1 - - [05/Mar/2018:13:20:25 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:25 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:25 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:25 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:25 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:25 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:25 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:26 +0100] "GET /Acme-Rendezvous/service/list.do HTTP/1.1" 200 4110
127.0.0.1 - - [05/Mar/2018:13:20:26 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:26 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:26 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:26 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:26 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:26 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:26 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:26 +0100] "GET /Acme-Rendezvous/images/deleted.png HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:39 +0100] "GET /Acme-Rendezvous/j_spring_security_logout HTTP/1.1" 302 -
127.0.0.1 - - [05/Mar/2018:13:20:39 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 2631
127.0.0.1 - - [05/Mar/2018:13:20:39 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:39 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:39 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:39 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:39 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:39 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:39 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:40 +0100] "GET /Acme-Rendezvous/security/login.do HTTP/1.1" 200 3070
127.0.0.1 - - [05/Mar/2018:13:20:40 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:40 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:40 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:40 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:40 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:40 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:40 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:43 +0100] "POST /Acme-Rendezvous/j_spring_security_check HTTP/1.1" 302 -
127.0.0.1 - - [05/Mar/2018:13:20:43 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 3020
127.0.0.1 - - [05/Mar/2018:13:20:43 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:43 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:43 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:43 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:43 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:43 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:43 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:44 +0100] "GET /Acme-Rendezvous/user/admin/list.do HTTP/1.1" 200 5267
127.0.0.1 - - [05/Mar/2018:13:20:44 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:45 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:45 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:45 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:45 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:45 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:44 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:46 +0100] "GET /Acme-Rendezvous/service/list.do HTTP/1.1" 200 4815
127.0.0.1 - - [05/Mar/2018:13:20:46 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:46 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:46 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:46 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:46 +0100] "GET /Acme-Rendezvous/images/deleted.png HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:46 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:46 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:46 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:46 +0100] "GET /Acme-Rendezvous/images/arrow_off.png HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:55 +0100] "GET /Acme-Rendezvous/images/arrow_down.png HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:57 +0100] "GET /Acme-Rendezvous/welcome/admin/customisation.do HTTP/1.1" 200 4091
127.0.0.1 - - [05/Mar/2018:13:20:57 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:57 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:57 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:57 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:57 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:57 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:57 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:58 +0100] "GET /Acme-Rendezvous HTTP/1.1" 302 -
127.0.0.1 - - [05/Mar/2018:13:20:58 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 3020
127.0.0.1 - - [05/Mar/2018:13:20:58 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:58 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:58 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:58 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:58 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:58 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:20:58 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:14 +0100] "GET /Acme-Rendezvous/j_spring_security_logout HTTP/1.1" 302 -
127.0.0.1 - - [05/Mar/2018:13:21:14 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 2631
127.0.0.1 - - [05/Mar/2018:13:21:14 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:14 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:14 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:14 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:14 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:14 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:14 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:35 +0100] "GET /Acme-Rendezvous/security/login.do HTTP/1.1" 200 3070
127.0.0.1 - - [05/Mar/2018:13:21:35 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:35 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:35 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:35 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:35 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:35 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:21:35 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:16 +0100] "POST /Acme-Rendezvous/j_spring_security_check HTTP/1.1" 302 -
127.0.0.1 - - [05/Mar/2018:13:26:16 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 3020
127.0.0.1 - - [05/Mar/2018:13:26:16 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:16 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:16 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:16 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:16 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:16 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:16 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 200 553
127.0.0.1 - - [05/Mar/2018:13:26:16 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 200 1868
127.0.0.1 - - [05/Mar/2018:13:26:16 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 200 3136
127.0.0.1 - - [05/Mar/2018:13:26:17 +0100] "GET /Acme-Rendezvous/images/arrow_down.png HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:20 +0100] "GET /Acme-Rendezvous/welcome/admin/customisation.do HTTP/1.1" 200 4091
127.0.0.1 - - [05/Mar/2018:13:26:20 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:20 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:20 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:20 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:20 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:20 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:20 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "POST /Acme-Rendezvous/welcome/admin/edit.do HTTP/1.1" 302 -
127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "GET /Acme-Rendezvous/welcome/index.do?bannerWelcome=https%3A%2F%2Fi.imgur.com%2Fmz4KOzY.png HTTP/1.1" 200 3013
127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
